lag_index,lag_fs,dimensionless_weight,equivalent_kernel_1_s,continuous_kernel_1_s
303,757.5,-1.5165179432262723e-06,-606607177.290509,-606360161.2637883
304,760.0,-1.3442535173638087e-06,-537701406.9455235,-537455172.3619366
305,762.5,-1.1793737933764053e-06,-471749517.35056216,-471504648.1485788
306,765.0,-1.021837970857113e-06,-408735188.3428452,-408492228.2015529
307,767.5,-8.715889344830835e-07,-348635573.7932334,-348395027.26804525
308,770.0,-7.285544276090861e-07,-291421771.0436344,-291184104.73114276
309,772.5,-5.926481909351642e-07,-237059276.3740657,-236824920.10116622
310,775.0,-4.637710655185014e-07,-185508426.20740056,-185277774.24014726
311,777.5,-3.4181205953749685e-07,-136724823.81499875,-136498236.08279568
312,780.0,-2.2664937834621514e-07,-90659751.33848606,-90437554.66953288
313,782.5,-1.1815141748111699e-07,-47260566.992446795,-47043056.35654283
314,785.0,-1.6177718398225407e-08,-6471087.359290163,-6258527.114346002
315,787.5,7.942011317105689e-08,31768045.268422756,31975420.129626796
316,790.0,1.687975262543753e-07,67519010.50175013,67720993.10774533
317,792.5,2.52116180975036e-07,100846472.39001441,101042882.75281256
318,795.0,3.295431420126343e-07,131817256.80505371,132007940.59107582
319,797.5,4.0125010892502757e-07,160500043.57001102,160684870.88241887
320,800.0,4.674126829909982e-07,186965073.19639927,187143937.37121618
321,802.5,5.282096701602266e-07,211283868.06409064,211456684.48235312
322,805.0,5.838224196306127e-07,233528967.85224506,233695672.7702273
323,807.5,6.344341975113979e-07,253773679.00455916,253934228.40393326
324,810.0,6.802295949744967e-07,272091837.9897987,272246206.4494532
325,812.5,7.213939702454109e-07,288557588.0981644,288705767.68919
326,815.0,7.581129237387767e-07,303245169.4955107,303387168.70076317
327,817.5,7.905718056023066e-07,316228722.24092263,316364564.9003738
328,820.0,8.189552548956695e-07,327582101.9582678,327711826.2412487
329,822.5,8.43446769598397e-07,337378707.8393588,337502365.24463457
330,825.0,8.642283066121975e-07,345691322.644879,345808977.0293827
331,827.5,8.814799108985687e-07,352591964.35942745,352703690.99633497
332,830.0,8.953793728716549e-07,358151749.148662,358257633.8154077
333,832.5,9.061019131491635e-07,362440765.2596654,362540903.3563211
334,835.0,9.138198937501036e-07,365527957.5000414,365622453.1984532
335,837.5,9.187025548176308e-07,367481021.9270523,367569987.35096264
336,840.0,9.209157759374988e-07,368366310.3749995,368449864.8113251
337,842.5,9.206218611180327e-07,368248744.44721305,368327013.58853465
338,845.0,9.179793464953172e-07,367191738.5981269,367264853.8163868
339,847.5,9.131428298279356e-07,365257131.9311742,365325229.5824773
340,850.0,9.062628208483619e-07,362505128.33934474,362568349.09969425
341,852.5,8.974856115432249e-07,358994244.61728996,359052732.84901875
342,855.0,8.869531654417906e-07,354781266.1767162,354835169.32531583
343,857.5,8.748030250011274e-07,349921210.00045097,349970678.02142745
344,860.0,8.611682361871621e-07,344467294.47486484,344512479.29021394
345,862.5,8.461772893634009e-07,338470915.7453604,338511970.72919
346,865.0,8.29954075613008e-07,331981630.2452032,332018709.7379949
347,867.5,8.126178576352812e-07,325047143.0541125,325080401.9050635
348,870.0,7.942832543741539e-07,317713301.74966156,317742894.8865251
349,872.5,7.750602385540569e-07,310024095.42162275,310050177.4474152
350,875.0,7.550541463171863e-07,302021658.52687454,302044383.34279615
351,877.5,7.343656981758206e-07,293746279.2703282,293765799.72422075
352,880.0,7.130910305137221e-07,285236412.2054888,285252879.765127
353,882.5,6.913217368917713e-07,276528694.75670856,276542259.2071952
354,885.0,6.691449184345979e-07,267657967.37383914,267668776.5383752
355,887.5,6.46643242597169e-07,258657297.0388676,258665496.52213746
356,890.0,6.238950096328846e-07,249558003.85315382,249563736.8065642
357,892.5,6.0097422610757e-07,240389690.44302803,240393097.3510296
