IR_normalized,I_normalized,case,parameter_set,phase_ratio_nRIR_over_n2I,t_fs
3.361461010207297e-24,3.376486271725567e-19,120fs,P2_TR_T2,2.9355962432651196e-05,10.0
6.258268923809864e-24,5.302101756986332e-19,120fs,P2_TR_T2,3.480482033228824e-05,12.5
1.1009415941943303e-23,8.305884458501221e-19,120fs,P2_TR_T2,3.908513603230129e-05,15.0
1.8665417306618475e-23,1.2980112885201853e-18,120fs,P2_TR_T2,4.240259812769773e-05,17.5
3.086099240784685e-23,2.0236053103613757e-18,120fs,P2_TR_T2,4.4969422526379664e-05,20.0
5.013376053899519e-23,3.1472258401824996e-18,120fs,P2_TR_T2,4.697162740932835e-05,22.5
8.041335440867989e-23,4.882977951005986e-18,120fs,P2_TR_T2,4.855977312218695e-05,25.0
1.2777020517351228e-22,7.557817053998021e-18,120fs,P2_TR_T2,4.985014781579142e-05,27.5
2.0155899532720113e-22,1.1669782019242902e-17,120fs,P2_TR_T2,5.092988251767141e-05,30.0
3.161604356125109e-22,1.7975619629006874e-17,120fs,P2_TR_T2,5.18629104534853e-05,32.5
4.936278108014713e-22,2.762229457232574e-17,120fs,P2_TR_T2,5.269544794279886e-05,35.0
7.676982174746439e-22,4.234385483205378e-17,120fs,P2_TR_T2,5.346054396900693e-05,37.5
1.1898569801622801e-21,6.47553699315637e-17,120fs,P2_TR_T2,5.418164759957117e-05,40.0
1.8384832184841223e-21,9.879067261837262e-17,120fs,P2_TR_T2,5.487530675798506e-05,42.5
2.8326074512092355e-21,1.5035256894356697e-16,120fs,P2_TR_T2,5.555316075901508e-05,45.0
4.352555172437961e-21,2.2827614007092416e-16,120fs,P2_TR_T2,5.622338609617881e-05,47.5
6.670845285147751e-21,3.457521942246996e-16,120fs,P2_TR_T2,5.689173215384463e-05,50.0
1.0198321520551303e-20,5.224252104919653e-16,120fs,P2_TR_T2,5.756225601388479e-05,52.5
1.5552853810428356e-20,7.874773384505568e-16,120fs,P2_TR_T2,5.823783992925138e-05,55.0
